Date, Adj. Close
1980-12-02,3.7922145565971732e-06
1980-12-03,3.7097711356182117e-06
1980-12-04,3.833433311228873e-06
1980-12-05,3.6273340811021626e-06
1980-12-08,3.421235987843829e-06
1980-12-09,3.338794840601622e-06
1980-12-10,3.132697884211666e-06
1980-12-11,2.967819227706059e-06
1980-12-12,3.0914768558432115e-06
1980-12-15,3.2151388040801976e-06
1980-12-16,3.132697884211666e-06
1980-12-17,3.009037527590408e-06
1980-12-18,3.0914768558432115e-06
1980-12-19,3.2151388040801976e-06
1980-12-22,3.2151388040801976e-06
1980-12-23,3.297576540717273e-06
1980-12-24,3.421235987843829e-06
1980-12-26,3.4624558793439064e-06
1980-12-29,3.421235987843829e-06
1980-12-30,3.5036766803386854e-06
1980-12-31,3.4624558793439064e-06
1981-01-02,3.544896799212438e-06
1981-01-05,3.689164941533818e-06
1981-01-06,3.7097711356182117e-06
1981-01-07,3.5036766803386854e-06
1981-01-08,3.421235987843829e-06
1981-01-09,3.3800154142227257e-06
1981-01-12,3.421235987843829e-06
1981-01-13,3.5036766803386854e-06
1981-01-14,3.6273340811021626e-06
1981-01-15,3.6273340811021626e-06
1981-01-16,3.6273340811021626e-06
1981-01-19,3.6273340811021626e-06
1981-01-20,3.5036766803386854e-06
1981-01-21,3.4624558793439064e-06
1981-01-22,3.297576540717273e-06
1981-01-23,3.3800154142227257e-06
1981-01-26,3.297576540717273e-06
1981-01-27,3.297576540717273e-06
1981-01-28,3.297576540717273e-06
1981-01-29,3.297576540717273e-06
1981-01-30,3.173917775711743e-06
1981-02-02,3.0914768558432115e-06
1981-02-03,3.0914768558432115e-06
1981-02-04,3.0914768558432115e-06
1981-02-05,3.173917775711743e-06
1981-02-06,3.173917775711743e-06
1981-02-09,3.0914768558432115e-06
1981-02-10,3.0914768558432115e-06
1981-02-11,3.009037527590408e-06
1981-02-12,3.009037527590408e-06
1981-02-13,2.967819227706059e-06
1981-02-17,2.967819227706059e-06
1981-02-18,3.050259920200915e-06
1981-02-19,3.132697884211666e-06
1981-02-20,3.0914768558432115e-06
1981-02-23,3.0914768558432115e-06
1981-02-24,3.132697884211666e-06
1981-02-25,3.132697884211666e-06
1981-02-26,3.173917775711743e-06
1981-02-27,3.173917775711743e-06
1981-03-02,3.173917775711743e-06
1981-03-03,3.2563564218435204e-06
1981-03-04,3.2563564218435204e-06
1981-03-05,3.2151388040801976e-06
1981-03-06,3.173917775711743e-06
1981-03-09,3.132697884211666e-06
1981-03-10,2.885378762584878e-06
1981-03-11,2.9266009278217098e-06
1981-03-12,2.967819227706059e-06
1981-03-13,3.009037527590408e-06
1981-03-16,2.9266009278217098e-06
1981-03-17,2.9266009278217098e-06
1981-03-18,2.885378762584878e-06
1981-03-19,2.844159325832152e-06
1981-03-20,2.885378762584878e-06
1981-03-23,2.885378762584878e-06
1981-03-24,2.9266009278217098e-06
1981-03-25,2.885378762584878e-06
1981-03-26,2.9266009278217098e-06
1981-03-27,2.967819227706059e-06
1981-03-30,3.050259920200915e-06
1981-03-31,3.0914768558432115e-06
1981-04-01,3.297576540717273e-06
1981-04-02,3.297576540717273e-06
1981-04-03,3.3800154142227257e-06
1981-04-06,3.297576540717273e-06
1981-04-07,3.297576540717273e-06
1981-04-08,3.297576540717273e-06
1981-04-09,3.586114416975761e-06
1981-04-10,3.586114416975761e-06
1981-04-13,3.4624558793439064e-06
1981-04-14,3.3800154142227257e-06
1981-04-15,3.6273340811021626e-06
1981-04-16,3.66855397260224e-06
1981-04-20,3.66855397260224e-06
1981-04-21,3.66855397260224e-06
1981-04-22,3.7097711356182117e-06
